so_hieu,title,clause_type,content,parent_content,grandparent_content,reference,relation
28/2018/QH14,Luật sửa đổi bổ sung một số điều của 11 Luật có liên quan đến quy hoạch năm 2018,vanban,"
LUẬT
SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 11 LUẬT CÓ LIÊN QUAN ĐẾN QUY HOẠCH
Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam;
Quốc hội ban hành Luật sửa đổi, bổ sung một số điều có liên quan đến quy hoạch của Luật An toàn thực phẩm số 55/2010/QH12, Luật Công chứng số 53/2014/QH13, Luật Dược số 105/2016/QH13, Luật Đầu tư số 67/2014/QH13, Luật Đầu tư công số 49/2014/QH13, Luật Điện lực số 28/2004/QH11 đã được sửa đổi, bổ sung một số điều theo Luật số 24/2012/QH13, Luật Hóa chất số 06/2007/QH12, Luật Khoa học và công nghệ số 29/2013/QH13, Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13, Luật Sử dụng năng lượng tiết kiệm và hiệu quả số 50/2010/QH12 và Luật Trẻ em số 102/2016/QH13.",,,Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam,can_cu
28/2018/QH14,Luật sửa đổi bổ sung một số điều của 11 Luật có liên quan đến quy hoạch năm 2018,vanban,"
LUẬT
SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 11 LUẬT CÓ LIÊN QUAN ĐẾN QUY HOẠCH
Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam;
Quốc hội ban hành Luật sửa đổi, bổ sung một số điều có liên quan đến quy hoạch của Luật An toàn thực phẩm số 55/2010/QH12, Luật Công chứng số 53/2014/QH13, Luật Dược số 105/2016/QH13, Luật Đầu tư số 67/2014/QH13, Luật Đầu tư công số 49/2014/QH13, Luật Điện lực số 28/2004/QH11 đã được sửa đổi, bổ sung một số điều theo Luật số 24/2012/QH13, Luật Hóa chất số 06/2007/QH12, Luật Khoa học và công nghệ số 29/2013/QH13, Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13, Luật Sử dụng năng lượng tiết kiệm và hiệu quả số 50/2010/QH12 và Luật Trẻ em số 102/2016/QH13.",,,Luật An toàn thực phẩm số 55/2010/QH12,sua_doi_bo_sung
28/2018/QH14,Luật sửa đổi bổ sung một số điều của 11 Luật có liên quan đến quy hoạch năm 2018,vanban,"
LUẬT
SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 11 LUẬT CÓ LIÊN QUAN ĐẾN QUY HOẠCH
Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam;
Quốc hội ban hành Luật sửa đổi, bổ sung một số điều có liên quan đến quy hoạch của Luật An toàn thực phẩm số 55/2010/QH12, Luật Công chứng số 53/2014/QH13, Luật Dược số 105/2016/QH13, Luật Đầu tư số 67/2014/QH13, Luật Đầu tư công số 49/2014/QH13, Luật Điện lực số 28/2004/QH11 đã được sửa đổi, bổ sung một số điều theo Luật số 24/2012/QH13, Luật Hóa chất số 06/2007/QH12, Luật Khoa học và công nghệ số 29/2013/QH13, Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13, Luật Sử dụng năng lượng tiết kiệm và hiệu quả số 50/2010/QH12 và Luật Trẻ em số 102/2016/QH13.",,,Luật Công chứng số 53/2014/QH13,sua_doi_bo_sung
28/2018/QH14,Luật sửa đổi bổ sung một số điều của 11 Luật có liên quan đến quy hoạch năm 2018,vanban,"
LUẬT
SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 11 LUẬT CÓ LIÊN QUAN ĐẾN QUY HOẠCH
Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam;
Quốc hội ban hành Luật sửa đổi, bổ sung một số điều có liên quan đến quy hoạch của Luật An toàn thực phẩm số 55/2010/QH12, Luật Công chứng số 53/2014/QH13, Luật Dược số 105/2016/QH13, Luật Đầu tư số 67/2014/QH13, Luật Đầu tư công số 49/2014/QH13, Luật Điện lực số 28/2004/QH11 đã được sửa đổi, bổ sung một số điều theo Luật số 24/2012/QH13, Luật Hóa chất số 06/2007/QH12, Luật Khoa học và công nghệ số 29/2013/QH13, Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13, Luật Sử dụng năng lượng tiết kiệm và hiệu quả số 50/2010/QH12 và Luật Trẻ em số 102/2016/QH13.",,,Luật Dược số 105/2016/QH13,sua_doi_bo_sung
28/2018/QH14,Luật sửa đổi bổ sung một số điều của 11 Luật có liên quan đến quy hoạch năm 2018,vanban,"
LUẬT
SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 11 LUẬT CÓ LIÊN QUAN ĐẾN QUY HOẠCH
Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam;
Quốc hội ban hành Luật sửa đổi, bổ sung một số điều có liên quan đến quy hoạch của Luật An toàn thực phẩm số 55/2010/QH12, Luật Công chứng số 53/2014/QH13, Luật Dược số 105/2016/QH13, Luật Đầu tư số 67/2014/QH13, Luật Đầu tư công số 49/2014/QH13, Luật Điện lực số 28/2004/QH11 đã được sửa đổi, bổ sung một số điều theo Luật số 24/2012/QH13, Luật Hóa chất số 06/2007/QH12, Luật Khoa học và công nghệ số 29/2013/QH13, Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13, Luật Sử dụng năng lượng tiết kiệm và hiệu quả số 50/2010/QH12 và Luật Trẻ em số 102/2016/QH13.",,,Luật Đầu tư số 67/2014/QH13,sua_doi_bo_sung
28/2018/QH14,Luật sửa đổi bổ sung một số điều của 11 Luật có liên quan đến quy hoạch năm 2018,vanban,"
LUẬT
SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 11 LUẬT CÓ LIÊN QUAN ĐẾN QUY HOẠCH
Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam;
Quốc hội ban hành Luật sửa đổi, bổ sung một số điều có liên quan đến quy hoạch của Luật An toàn thực phẩm số 55/2010/QH12, Luật Công chứng số 53/2014/QH13, Luật Dược số 105/2016/QH13, Luật Đầu tư số 67/2014/QH13, Luật Đầu tư công số 49/2014/QH13, Luật Điện lực số 28/2004/QH11 đã được sửa đổi, bổ sung một số điều theo Luật số 24/2012/QH13, Luật Hóa chất số 06/2007/QH12, Luật Khoa học và công nghệ số 29/2013/QH13, Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13, Luật Sử dụng năng lượng tiết kiệm và hiệu quả số 50/2010/QH12 và Luật Trẻ em số 102/2016/QH13.",,,Luật Đầu tư công số 49/2014/QH13,sua_doi_bo_sung
28/2018/QH14,Luật sửa đổi bổ sung một số điều của 11 Luật có liên quan đến quy hoạch năm 2018,vanban,"
LUẬT
SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 11 LUẬT CÓ LIÊN QUAN ĐẾN QUY HOẠCH
Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam;
Quốc hội ban hành Luật sửa đổi, bổ sung một số điều có liên quan đến quy hoạch của Luật An toàn thực phẩm số 55/2010/QH12, Luật Công chứng số 53/2014/QH13, Luật Dược số 105/2016/QH13, Luật Đầu tư số 67/2014/QH13, Luật Đầu tư công số 49/2014/QH13, Luật Điện lực số 28/2004/QH11 đã được sửa đổi, bổ sung một số điều theo Luật số 24/2012/QH13, Luật Hóa chất số 06/2007/QH12, Luật Khoa học và công nghệ số 29/2013/QH13, Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13, Luật Sử dụng năng lượng tiết kiệm và hiệu quả số 50/2010/QH12 và Luật Trẻ em số 102/2016/QH13.",,,Luật Điện lực số 28/2004/QH11,sua_doi_bo_sung
28/2018/QH14,Luật sửa đổi bổ sung một số điều của 11 Luật có liên quan đến quy hoạch năm 2018,vanban,"
LUẬT
SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 11 LUẬT CÓ LIÊN QUAN ĐẾN QUY HOẠCH
Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam;
Quốc hội ban hành Luật sửa đổi, bổ sung một số điều có liên quan đến quy hoạch của Luật An toàn thực phẩm số 55/2010/QH12, Luật Công chứng số 53/2014/QH13, Luật Dược số 105/2016/QH13, Luật Đầu tư số 67/2014/QH13, Luật Đầu tư công số 49/2014/QH13, Luật Điện lực số 28/2004/QH11 đã được sửa đổi, bổ sung một số điều theo Luật số 24/2012/QH13, Luật Hóa chất số 06/2007/QH12, Luật Khoa học và công nghệ số 29/2013/QH13, Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13, Luật Sử dụng năng lượng tiết kiệm và hiệu quả số 50/2010/QH12 và Luật Trẻ em số 102/2016/QH13.",,,Luật Hóa chất số 06/2007/QH12,sua_doi_bo_sung
28/2018/QH14,Luật sửa đổi bổ sung một số điều của 11 Luật có liên quan đến quy hoạch năm 2018,vanban,"
LUẬT
SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 11 LUẬT CÓ LIÊN QUAN ĐẾN QUY HOẠCH
Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam;
Quốc hội ban hành Luật sửa đổi, bổ sung một số điều có liên quan đến quy hoạch của Luật An toàn thực phẩm số 55/2010/QH12, Luật Công chứng số 53/2014/QH13, Luật Dược số 105/2016/QH13, Luật Đầu tư số 67/2014/QH13, Luật Đầu tư công số 49/2014/QH13, Luật Điện lực số 28/2004/QH11 đã được sửa đổi, bổ sung một số điều theo Luật số 24/2012/QH13, Luật Hóa chất số 06/2007/QH12, Luật Khoa học và công nghệ số 29/2013/QH13, Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13, Luật Sử dụng năng lượng tiết kiệm và hiệu quả số 50/2010/QH12 và Luật Trẻ em số 102/2016/QH13.",,,Luật Khoa học và công nghệ số 29/2013/QH13,sua_doi_bo_sung
28/2018/QH14,Luật sửa đổi bổ sung một số điều của 11 Luật có liên quan đến quy hoạch năm 2018,vanban,"
LUẬT
SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 11 LUẬT CÓ LIÊN QUAN ĐẾN QUY HOẠCH
Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam;
Quốc hội ban hành Luật sửa đổi, bổ sung một số điều có liên quan đến quy hoạch của Luật An toàn thực phẩm số 55/2010/QH12, Luật Công chứng số 53/2014/QH13, Luật Dược số 105/2016/QH13, Luật Đầu tư số 67/2014/QH13, Luật Đầu tư công số 49/2014/QH13, Luật Điện lực số 28/2004/QH11 đã được sửa đổi, bổ sung một số điều theo Luật số 24/2012/QH13, Luật Hóa chất số 06/2007/QH12, Luật Khoa học và công nghệ số 29/2013/QH13, Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13, Luật Sử dụng năng lượng tiết kiệm và hiệu quả số 50/2010/QH12 và Luật Trẻ em số 102/2016/QH13.",,,"Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13",sua_doi_bo_sung
